Hotel ID,Hotel Picture,Hotel Name,Hotel Exname,Country and Destination,Accommodation Type,Hotel Category,Recommendation,Own Rating,Own Texts
17789,https://i.ccdn.cz/acm/14/843996/l0.jpg,Los Nidos,,Itálie » Adriatická riviéra » Caorle » Porto Santa Margherita,Apartmány,3.0,0,0,0
17790,https://i.ccdn.cz/acm/15/889975/l0.jpg,Luna,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Apartmány,3.0,0,0,0
17791,,Apartmány Makarska,,Chorvatsko » Střední Dalmácie » Makarská,Apartmány,3.0,0,0,0
17797,,No Name Medulin,,Chorvatsko » Istrie » Medulin,Apartmány,3.0,0,0,0
17800,,No name apartmány Novalja,,Chorvatsko » Kvarner » ostrov Pag » Novalja,Apartmány,3.0,0,0,0
17806,,Orchidea,,Itálie » Adriatická riviéra » Grado,Rezidence,3.0,0,0,0
17813,,Apartmány Poreč,,Chorvatsko » Istrie » Poreč,Apartmány,3.0,0,0,0
17814,,Apartmány Portorož,,Slovinsko » Portorož,Apartmány,2.0,0,0,0
17815,,Apartmány Povljana,,Chorvatsko » Kvarner » ostrov Pag » Povljana,Apartmány,3.0,0,0,0
17816,,No name Primošten apartmány v soukromí,,Chorvatsko » Severní Dalmácie » Primošten,Apartmány,3.0,0,0,0
17819,,Pula,,Chorvatsko » Istrie » Pula,Apartmány,3.0,0,0,0
17821,,Apartmány Rastovac,,Chorvatsko » Severní Dalmácie » ostrov Murter » Tisno,Apartmány,3.0,0,0,0
17822,,No Name - apartmány Rovinj,,Chorvatsko » Istrie » Rovinj,Apartmány,3.0,0,0,0
17832,,Vinka,,Chorvatsko » Střední Dalmácie » ostrov Brač » Supetar,Apartmány,3.0,0,0,0
17835,https://i.ccdn.cz/acm/111/877713/l0.jpg,Tonin,,Itálie » Adriatická riviéra » Bibione,Apartmány,3.0,0,0,0
17836,,Apartmány Trogir,,Chorvatsko » Severní Dalmácie » Trogir,Apartmány,3.0,0,0,0
17838,,Apartmány Turanj,,Chorvatsko » Severní Dalmácie » Turanj,Apartmány,3.0,0,0,0
17840,,Umag - ubytování v soukromí,,Chorvatsko » Istrie » Umag,Apartmány,0.0,0,0,0
17841,,Vecchio Faro,,Itálie » Adriatická riviéra » Cavallino,Apartmány,3.0,0,0,0
17842,https://i.ccdn.cz/acm/145/880785/l0.jpg,Vera Cruz,,Itálie » Adriatická riviéra » Bibione,Apartmány,3.0,0,0,0
17859,https://i.ccdn.cz/acm/247/872560/l0.jpg,Life Class Resort,,Slovinsko » Portorož,Hotel,4.0,0,0,0
17869,,Alexander,,Itálie » Emilia Romagna » Cattolica,Hotel,3.0,0,0,0
17871,,Astoria,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Val di Fassa / Carezza,Hotel,4.0,0,0,0
17873,,Barisetti,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Cortina d'Ampezzo,Hotel,3.0,0,0,0
17879,,Stella Alpina,,Itálie » Lombardie » Italské Alpy » Aprica,Rezidence,3.0,0,0,0
17881,,Bruggerwirt,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Plan de Corones - Kronplatz,Hotel,3.0,0,0,0
17884,https://i.ccdn.cz/acm/247/872471/l0.jpg,Apollo,,Slovinsko » Portorož,Hotel,4.0,0,0,0
17885,https://i.ccdn.cz/acm/111/877643/l0.jpg,Rezidence Apollo,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,3.0,0,0,0
17890,,Ferienhotel Pass Thurn,,Rakousko » Tyrolsko » Kitzbühelské Alpy » Pass Thurn,Hotel,4.0,0,0,0
17901,,Bembo,,Itálie » Adriatická riviéra » Bibione,Hotel,4.0,0,0,0
17904,https://i.ccdn.cz/acm/72/573340/l0.jpg,Bristol,,Itálie » Adriatická riviéra » Bibione,Apartmány,2.0,0,0,0
17906,,Cannes,,Itálie » Emilia Romagna,Hotel,3.0,0,0,0
17907,https://i.ccdn.cz/acm/115/111388/l0.jpg,Lukashansl,,Rakousko » Salzbursko » Kaprun - Zell am See » Bruck,Hotel,3.0,0,0,0
17916,,Nigritella,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Civetta,Hotel,3.0,0,0,0
17941,,Rezidence Florida,,Itálie » Adriatická riviéra » Caorle » Porto Santa Margherita,Rezidence,3.0,0,0,0
17942,,Serena,,Itálie » Lombardie » Italské Alpy » Alta Valtellina » Bormio,Rezidence,2.0,0,0,0
17946,,Gran Venere Beach,,Itálie » Adriatická riviéra » Bibione » Spiaggia,Hotel,3.0,0,0,0
17947,,Trauner,,Rakousko » Salzbursko » Kaprun - Zell am See,Penzion,3.0,0,0,0
17951,,Helvetia,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Hotel,4.0,0,0,0
17961,,Alaska,,Itálie » Jižní Tyrolsko - Trentino » Skirama Dolomiti » Paganella,Hotel,3.0,0,0,0
17963,https://i.ccdn.cz/acm/72/854584/l0.jpg,Florida,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Hotel,4.0,0,0,0
17973,,International,,Itálie » Adriatická riviéra » Lido di Jesolo,Hotel,2.0,0,0,0
17976,,Leonardo,,Itálie » Emilia Romagna » Cattolica,Hotel,2.0,0,0,0
17978,https://i.ccdn.cz/acm/190/598412/l0.jpg,Marco Polo,,Itálie » Adriatická riviéra » Caorle » Porto Santa Margherita,Rezidence,3.0,0,0,0
17982,,Hotel New Zanarini,,Itálie » Emilia Romagna » Riccione,Hotel,3.0,0,0,0
17983,https://i.ccdn.cz/acm/482/679507/l0.jpg,Olympus,,Itálie » Adriatická riviéra » Caorle,Hotel,4.0,0,0,0
17984,https://i.ccdn.cz/acm/281/809330/l0.jpg,Parco dei Principi,,Itálie » Kalábrie » Scalea,Hotel,3.0,0,0,0
17985,,Parco del Sole,,Itálie » Apúlie » Gargano » Gargáno - Lido del Sole,Hotel,3.0,0,0,0
17988,,Parco Verde,,Itálie » Ischia,Hotel,4.0,0,0,0
17991,,Hotel Zillerhof,,Rakousko » Tyrolsko » Zillertalarena » Zell am Ziller,Hotel,4.0,0,0,0
17996,https://i.ccdn.cz/acm/72/831027/l0.jpg,Rezidence San Marco,,Itálie » Adriatická riviéra » Cavallino,Apartmány,3.0,0,0,0
17997,https://i.ccdn.cz/acm/111/890897/l0.jpg,Speranza,,Itálie » Adriatická riviéra » Lido di Jesolo,Hotel,3.0,0,0,0
17999,https://i.ccdn.cz/acm/145/632517/l0.jpg,Villa d’Este,,Itálie » Adriatická riviéra » Grado,Hotel,3.0,0,0,0
18000,https://i.ccdn.cz/acm/90/798941/l0.jpg,Hotel Verdi,,Itálie » Adriatická riviéra » Lido di Jesolo,Hotel,3.0,0,0,0
18002,,Apartmány Ferdinand,,Rakousko » Tyrolsko » Zillertalarena » Zell am Ziller,Apartmány,3.0,0,0,0
18003,,Kemp Adria,,Itálie » Emilia Romagna » Riccione,Kemp,3.0,0,0,0
18004,,Adriana,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18005,https://i.ccdn.cz/acm/145/856057/l0.jpg,Adriatico,,Itálie » Adriatická riviéra » Bibione,Rezidence,3.0,0,0,0
18006,,Kemp Duca Amedeo,,Itálie » Palmová riviéra » Abruzzo,Karavan,3.0,0,0,0
18008,,Leitner,,Rakousko » Tyrolsko,Apartmány,0.0,0,0,0
18009,,Bosco Canoro East,,Itálie » Adriatická riviéra » Bibione,Rezidence,4.0,0,0,0
18012,https://i.ccdn.cz/acm/157/863042/l0.jpg,Tamerici,,Itálie » Adriatická riviéra » Cavallino,Rezidence,3.0,0,0,0
18013,https://i.ccdn.cz/acm/241/877156/l0.jpg,Acapulco,,Itálie » Adriatická riviéra » Caorle » Porto Santa Margherita,Apartmány,1.0,0,0,0
18014,https://i.ccdn.cz/acm/241/864641/l0.jpg,Villaggio Aceri,,Itálie » Adriatická riviéra » Bibione,Komplex,0.0,0,0,0
18019,,Ai Salici,,Itálie » Adriatická riviéra » Caorle » Altanea,Rezidence,4.0,0,0,0
18026,https://i.ccdn.cz/acm/111/343877/l0.jpg,Rezidence Alle Farnie,,Itálie » Adriatická riviéra » Caorle » Altanea,Rezidence,4.0,0,0,0
18030,https://i.ccdn.cz/acm/145/868454/l0.jpg,Alvorada,,Itálie » Adriatická riviéra » Caorle » Porto Santa Margherita,Apartmány,1.0,0,0,0
18032,,Amadores,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Rezidence,0.0,0,0,0
18033,https://i.ccdn.cz/acm/111/877644/l0.jpg,Ariston,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18034,,Rezidence Astrid,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Rezidence,3.0,0,0,0
18036,,Baia Blu,,Itálie » Apúlie » Salento » Gallipoli,Apartmány,3.0,0,0,0
18037,,Baia Renella,,Itálie » Sicílie,Rezidence,3.0,0,0,0
18042,https://i.ccdn.cz/acm/111/877651/l0.jpg,Rezidence Brioni,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18045,,Rezidence Capo Blu,,Itálie » Sardinie,Apartmány,0.0,0,0,0
18047,https://i.ccdn.cz/acm/157/862878/l0.jpg,Cavallino,,Itálie » Adriatická riviéra » Bibione,Rezidence,3.0,0,0,0
18049,,Rezidence Conchiglia,,Itálie » Kalábrie » Praia a Mare,Apartmány,0.0,0,0,0
18050,,Rezidence Conchiglie,,Itálie » Adriatická riviéra » Cavallino,Apartmány,3.0,0,0,0
18052,https://i.ccdn.cz/acm/111/888212/l0.jpg,Rezidence Costa del Sol,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18055,https://i.ccdn.cz/acm/111/877666/l0.jpg,Diplomatic,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,3.0,0,0,0
18056,,Rezidence Donizetti,,Itálie » Palmová riviéra » Abruzzo » Villa Rosa,Apartmány,0.0,0,0,0
18064,https://i.ccdn.cz/acm/111/877668/l0.jpg,El Palmar,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18066,https://i.ccdn.cz/acm/45/751960/l0.jpg,Langi Langi Beach Bungalows,,Tanzanie » Zanzibar » Nungwi,Bungalovy,3.0,0,0,0
18067,,White Sands Bungalows,,Tanzanie » Zanzibar,Hotel,2.0,0,0,0
18069,,Dead Sea Spa,,Jordánsko » Dead Sea,Hotel,4.0,0,0,0
18070,,Gabbiano,,Itálie » Palmová riviéra » Abruzzo » Villa Rosa,Rezidence,3.0,0,0,0
18071,https://i.ccdn.cz/acm/14/888851/l0.jpg,Gemini,,Itálie » Adriatická riviéra » Bibione » Pineda,Rezidence,2.0,0,0,0
18076,,Rezidence Il Faro,,Itálie » Adriatická riviéra » Cavallino,Rezidence,,0,0,0
18081,,Rezidence Kara,,Itálie » Palmová riviéra » Abruzzo » Silvi Marina,Apartmány,0.0,0,0,0
18084,,La Caletta,,Itálie » Apúlie » Salento » Mancaversa,Hotel,3.0,0,0,0
18088,,Laguna,,Itálie » Adriatická riviéra » Caorle,Rezidence,3.0,0,0,0
18089,https://i.ccdn.cz/acm/190/870060/l0.jpg,Le Briccole,,Itálie » Adriatická riviéra » Cavallino,Apartmány,3.0,0,0,0
18092,,Le Vele,,Itálie » Emilia Romagna » Cattolica,Apartmány,3.0,0,0,0
18095,,Rezidence Lia,,Itálie » Adriatická riviéra » Bibione,Rezidence,3.0,0,0,0
18096,https://i.ccdn.cz/acm/157/862917/l0.jpg,Tagliamento,,Itálie » Adriatická riviéra » Bibione,Apartmány,2.0,0,0,0
18097,,Rezidence Lio,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18098,https://i.ccdn.cz/acm/145/830007/l0.jpg,Lion,,Itálie » Adriatická riviéra » Bibione,Rezidence,3.0,0,0,0
18100,,Rezidence Marcello,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,2.0,0,0,0
18103,,Rezidence Mare,,Itálie » Emilia Romagna » Cattolica,Rezidence,0.0,0,0,0
18111,https://i.ccdn.cz/acm/145/450677/l0.jpg,Villaggio Lido del Mare,,Itálie » Apúlie » Gargano » Gargáno - Lido del Sole,Apartmány,3.0,0,0,0
18112,https://i.ccdn.cz/acm/145/821617/l0.jpg,Villaggio Pino Mare,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Mobilhome,4.0,0,0,0
18113,https://i.ccdn.cz/acm/157/862925/l0.jpg,Rezidence Monaco,,Itálie » Adriatická riviéra » Bibione » Spiaggia,Apartmány,3.0,0,0,0
18116,,My Villa Eden,,Itálie » Kalábrie » Capo Vaticano,Apartmány,0.0,0,0,0
18119,https://i.ccdn.cz/acm/188/888737/l0.jpg,Nautilus,,Itálie » Adriatická riviéra » Bibione,Rezidence,3.0,0,0,0
18120,,Royalton White Sands (Breezes Trelawny),,Jamajka » Montego Bay,Hotel,3.0,0,0,0
18122,,Rezidence Oscar,,Itálie » Adriatická riviéra » Grado,Apartmány,1.0,0,0,0
18123,,Panda,,Itálie » Kalábrie » Santa Maria del Cedro,Apartmány,0.0,0,0,0
18127,https://i.ccdn.cz/acm/157/863020/l0.jpg,Residence Porto Sole,,Itálie » Adriatická riviéra » Cavallino,Apartmány,3.0,0,0,0
18129,,Diamonds La Gemma dell´Est,,Tanzanie » Zanzibar » Nungwi,Hotel,5.0,0,0,0
18132,,Re.Ji,,Itálie » Adriatická riviéra » Bibione,Rezidence,0.0,0,0,0
18133,,Messapia,,Itálie » Apúlie » Salento » Santa Maria di Leuca,Hotel,4.0,0,0,0
18135,,Rezidence Rialto,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Rezidence,3.0,0,0,0
18142,https://i.ccdn.cz/acm/143/640480/l0.jpg,San Nicolas,San Nicholas,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,3.0,0,0,0
18144,https://i.ccdn.cz/acm/482/871993/l0.jpg,Rezidence Santa Fe,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,2.0,0,0,0
18145,,Rosburgo Sea Resort,,Itálie » Palmová riviéra » Abruzzo » Roseto degli Abruzzi,Rezidence,4.0,0,0,0
18147,https://i.ccdn.cz/acm/111/877709/l0.jpg,Semiramis,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,2.0,0,0,0
18148,https://i.ccdn.cz/acm/145/450684/l0.jpg,Sfinal,,Itálie » Apúlie » Gargano » Peschici,Rezidence,3.0,0,0,0
18149,https://i.ccdn.cz/acm/417/408577/l0.jpg,Shakespeare,,Itálie » Friuli - Venezia Giulia » Lignano,Rezidence,3.0,0,0,0
18155,https://i.ccdn.cz/acm/145/451086/l0.jpg,Rezidence Spiaggia,,Itálie » Friuli - Venezia Giulia » Lignano » Sabbiadoro,Rezidence,3.0,0,0,0
18157,,Storione,,Itálie » Adriatická riviéra » Bibione,Apartmány,0.0,0,0,0
18158,,Rezidence Sunlove,,Itálie » Apúlie » Gargano » Vieste,Apartmány,3.0,0,0,0
18159,,Rezidence T-Village,,Itálie » Lazio » Anzio,Apartmány,3.0,0,0,0
18161,,Les Tipaniers,,Francouzská Polynésie,Hotel,3.0,0,0,0
18167,https://i.ccdn.cz/acm/14/673963/l0.jpg,Tulipano,,Itálie » Adriatická riviéra » Bibione,Apartmány,4.0,0,0,0
18168,,Rezidence Valentina,,Itálie » Adriatická riviéra » Lido di Jesolo,Rezidence,0.0,0,0,0
18170,,Vela Club,,Itálie » Apúlie,Rezidence,3.0,0,0,0
18173,,Villa Alba,,Itálie » Adriatická riviéra » Bibione,Apartmány,3.0,0,0,0
18180,,Villa Marilena,,Itálie » Adriatická riviéra » Bibione,Apartmány,0.0,0,0,0
18184,,Villa Brazzano,,Itálie » Kalábrie » Scalea,Vila,0.0,0,0,0
18185,,Villa Daniela,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,2.0,0,0,0
18187,https://i.ccdn.cz/acm/484/885680/l0.jpg,Sultan Sands Island Resort,,Tanzanie » Zanzibar » Kiwengwa,Hotel,4.0,0,0,0
18189,,Arco del Saracino,,Itálie » Apúlie » Salento » Lido Marini,Apartmány,4.0,0,0,0
18191,https://i.ccdn.cz/acm/484/890449/l0.jpg,Whala! Bavaro,,Dominikánská republika » Punta Cana » Bávaro,Hotel,4.0,0,0,0
18192,https://i.ccdn.cz/acm/289/888913/l0.jpg,Villaggio Baia di Zambrone,,Itálie » Kalábrie » Tropea,Apartmány,3.0,0,0,0
18193,,Intercontinental Moorea Resort & Spa,,Francouzská Polynésie,Hotel,4.0,0,0,0
18194,https://i.ccdn.cz/acm/111/877664/l0.jpg,Villaggio Danubio,,Itálie » Adriatická riviéra » Bibione » Spiaggia,Apartmány,3.0,0,0,0
18202,,Villaggio Parco degli Ulivi,,Itálie » Apúlie » Gargano » Peschici,Apartmány,3.0,0,0,0
18203,https://i.ccdn.cz/acm/72/871633/l0.jpg,San Siro,,Itálie » Adriatická riviéra » Bibione,Apartmány,2.0,0,0,0
18205,https://i.ccdn.cz/acm/111/84424/l0.jpg,Licia,,Itálie » Adriatická riviéra » Bibione,Apartmány,3.0,0,0,0
18206,,York,,Itálie » Adriatická riviéra » Lido di Jesolo,Apartmány,2.0,0,0,0
18211,https://i.ccdn.cz/acm/145/618312/l0.jpg,White Star,,Itálie » Adriatická riviéra » Bibione » Spiaggia,Apartmány,3.0,0,0,0
18267,,Andaman Seaview,,Thajsko » Phuket,Hotel,4.0,0,0,0
18271,,Catalonia Bavaro,,Dominikánská republika » Punta Cana » Bávaro,Hotel,5.0,0,0,0
18284,https://i.ccdn.cz/acm/240/846797/l0.jpg,Greenwood Kemer Resort,Sherwood Greenwood Resort,Turecko » Turecká riviéra » Kemer » Goynuk,Hotel,4.0,0,0,0
18286,,Iberostar Hacienda Dominicus,,Dominikánská republika » Bayahibe,Hotel,5.0,0,0,0
18303,https://i.ccdn.cz/acm/484/884085/l0.jpg,Majestic Colonial,,Dominikánská republika » Punta Cana » Bávaro,Hotel,5.0,0,0,0
18326,https://i.ccdn.cz/acm/59/832778/l0.jpg,Riu Cabo Verde,,Kapverdy » Sal » Santa Maria,Hotel,5.0,0,0,0
18330,https://i.ccdn.cz/acm/12/823678/l0.jpg,Savoy,,Egypt » Sharm El Sheikh » Shark´s Bay,Hotel,5.0,0,0,0
18333,,Sunset Park Resort & Spa,,Thajsko » Pattaya,Hotel,4.0,0,0,0
18351,,Woodlands Hotel & Resort,,Thajsko » Pattaya,Hotel,4.0,0,0,0
18365,,Riccione,,Itálie » Emilia Romagna » Rimini,Apartmány,3.0,0,0,0
18379,https://i.ccdn.cz/acm/247/872464/l0.jpg,Mirna,,Slovinsko » Portorož,Hotel,4.0,0,0,0
18384,https://i.ccdn.cz/acm/323/838067/l0.jpg,Park,,Slovinsko » Bled,Hotel,4.0,0,0,0
18389,https://i.ccdn.cz/acm/449/885231/l0.jpg,Termal,,Slovinsko » Moravské Toplice,Hotel,4.0,0,0,0
18391,https://i.ccdn.cz/acm/14/882915/l0.jpg,Aquapark Žusterna,,Slovinsko,Hotel,3.0,0,0,0
18395,,Kemp Baško Polje - karavan,,Chorvatsko » Střední Dalmácie » Baška Voda,Kemp,2.0,0,0,0
18397,,Kemp Diana & Josip,,Chorvatsko » Severní Dalmácie » Biograd,Kemp,3.0,0,0,0
18400,,Kemp Mia,,Chorvatsko » Severní Dalmácie » Biograd,Kemp,3.0,0,0,0
18403,https://i.ccdn.cz/acm/108/873433/l0.jpg,Kemp Porat,,Chorvatsko » Kvarner » ostrov Pag » Povljana,Bungalovy,2.0,0,0,0
18406,https://i.ccdn.cz/acm/121/73411/l0.jpg,Penzion Adria,,Chorvatsko » Střední Dalmácie » Drvenik,Penzion,3.0,0,0,0
18410,https://i.ccdn.cz/acm/77/887075/l0.jpg,Justiniano Club Park Conti,,Turecko » Turecká riviéra » Alanya » Okurcalar,Hotel,4.0,0,0,0
18412,https://i.ccdn.cz/acm/289/881499/l0.jpg,Side Star Park,,Turecko » Turecká riviéra » Side,Hotel,5.0,0,0,0
18423,https://i.ccdn.cz/acm/57/804947/l0.jpg,Sandals Regency & Spa,,Svatá Lucie,Hotel,5.0,0,0,0
18468,,Penzion Belveder,,Chorvatsko » Kvarner » ostrov Pag,Penzion,2.0,0,0,0
18469,,Čirjak,,Chorvatsko » Severní Dalmácie,Penzion,3.0,0,0,0
18470,,Penzion Kovačič,,Chorvatsko » Střední Dalmácie » Promajna,Penzion,3.0,0,0,0
18472,,Tomi,,Chorvatsko » Severní Dalmácie » Biograd,Penzion,2.0,0,0,0
18474,,Villa Ribarska Koliba,,Chorvatsko » Istrie » Pula,Vila,4.0,0,0,0
18476,https://i.ccdn.cz/acm/119/783252/l0.jpg,Hani,,Chorvatsko » Střední Dalmácie » Drvenik,Hotel,3.5,0,0,0
18478,,Villa Andela,,Chorvatsko » Severní Dalmácie,Vila,3.0,0,0,0
18481,,Bendjo,,Chorvatsko » Kvarner » ostrov Pag » Novalja,Vila,0.0,0,0,0
18483,,Villa Boris,,Chorvatsko » Kvarner » ostrov Pag,Vila,3.0,0,0,0
18484,,Villa Crljenko,,Chorvatsko » Kvarner » ostrov Pag » Povljana,Vila,3.0,0,0,0
18485,,Dada,,Chorvatsko » Severní Dalmácie » Turanj,Vila,4.0,0,0,0
18487,,Villa Dalmatino,,Chorvatsko » Střední Dalmácie » Tučepi,Vila,2.0,0,0,0
18492,,Vila Grmoja,,Chorvatsko » Střední Dalmácie » Baška Voda,Apartmány,3.0,0,0,0
18496,,Villa Juraska,,Chorvatsko » Kvarner » ostrov Pag » Novalja,Vila,3.0,0,0,0
18498,,Villa King,,Chorvatsko » Střední Dalmácie » Promajna,Vila,3.0,0,0,0
18501,,Villa Labinac,,Chorvatsko » Istrie » Poreč,Vila,3.0,0,0,0
18511,,Milas,,Chorvatsko » Střední Dalmácie » Promajna,Vila,3.0,0,0,0
18513,,Natalia,,Chorvatsko » Střední Dalmácie » Promajna,Vila,3.0,0,0,0
18520,,Vinko,,Chorvatsko » Istrie » Pula,Vila,3.0,0,0,0
18521,,Višnja,,Chorvatsko » Střední Dalmácie » Drvenik,Vila,2.0,0,0,0
18526,https://i.ccdn.cz/acm/58/551892/l0.jpg,Wadi Lahmy Azur Resort,,Egypt » Marsa Alam,Hotel,4.0,0,0,0
18549,,Myosotis,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Val di Fassa / Carezza,Rezidence,3.0,0,0,0
18553,https://i.ccdn.cz/acm/157/864644/l0.jpg,Rezidence Valfurva,,Itálie » Lombardie » Italské Alpy » Alta Valtellina » Santa Caterina,Apartmány,3.0,0,0,0
18565,https://i.ccdn.cz/acm/80/401556/l0.jpg,A-One The Royal Cruise,,Thajsko » Pattaya,Hotel,4.0,0,0,0
18568,,Amari Atrium,,Thajsko » Bangkok,Hotel,4.0,0,0,0
18571,https://i.ccdn.cz/acm/156/864901/l0.jpg,Ancora,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Val di Fiemme / Obereggen,Hotel,4.0,0,0,0
18573,,Park Hotel Azalea,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Val di Fiemme / Obereggen,Hotel,3.0,0,0,0
18580,,Casa Nili,,Itálie » Jižní Tyrolsko - Trentino » Dolomity Superski » Civetta,Apartmány,0.0,0,0,0
18587,,Gästhaus Latini,,Rakousko » Salzbursko,Hotel,2.0,0,0,0
18591,https://i.ccdn.cz/acm/45/479935/l0.jpg,Chaweng Cove Resotel,,Thajsko » Koh Samui,Hotel,3.0,0,0,0
18592,https://i.ccdn.cz/acm/45/864143/l0.jpg,Ibis Samui Bophut,,Thajsko » Koh Samui,Hotel,3.0,0,0,0
18593,https://i.ccdn.cz/acm/247/865146/l0.jpg,Il Cervo,,Itálie » Friuli - Venezia Giulia » Sella Nevea » Tarvisio,Hotel,4.0,0,0,0
18596,,Karon Princess,,Thajsko » Phuket,Hotel,3.0,0,0,0
18601,https://i.ccdn.cz/acm/11/873072/l0.jpg,Lily Beach Resort & Spa,,Maledivy » Jižní Ari Atoll,Hotel,5.0,0,0,0
18608,https://i.ccdn.cz/acm/157/889371/l0.jpg,Mozart,,Rakousko » Salzbursko » Gastein - Bad Gastein - Bad Hofgastein » Bad Gastein,Hotel,3.0,0,0,0
18610,,Natural Park Resort,,Thajsko » Pattaya,Hotel,3.0,0,0,0
18613,,Patong Resort,,Thajsko » Phuket,Hotel,4.0,0,0,0
